model,target,paper,reproduced,diff
PCA (10 components),rx_2,-53.0,-51.2,1.8
PCA (10 components),rx_3,-36.2,-36.9,-0.7
PCA (10 components),rx_4,-27.5,-28.8,-1.3
PCA (10 components),rx_5,-20.3,-22.9,-2.6
PCA (10 components),rx_7,-12.4,-16.0,-3.6
PCA (10 components),rx_10,-0.7,-5.2,-4.5
PCA (10 components),EW,-17.7,-21.0,-3.3
PCA (5 components),rx_2,-54.9,-51.7,3.2
PCA (5 components),rx_3,-38.8,-38.1,0.7
PCA (5 components),rx_4,-30.4,-30.9,-0.5
PCA (5 components),rx_5,-20.3,-23.7,-3.4
PCA (5 components),rx_7,-15.3,-19.0,-3.7
PCA (5 components),rx_10,-3.1,-7.8,-4.7
PCA (5 components),EW,-20.0,-23.3,-3.3
PCA (3 components),rx_2,-17.6,-19.1,-1.5
PCA (3 components),rx_3,-10.2,-12.4,-2.2
PCA (3 components),rx_4,-5.3,-8.1,-2.8
PCA (3 components),rx_5,1.0,-2.9,-3.9
PCA (3 components),rx_7,2.9,0.3,-2.6
PCA (3 components),rx_10,10.2,7.1,-3.1
PCA (3 components),EW,1.0,-2.2,-3.2
PCA-Squared (5 components),rx_2,-55.0,-53.3,1.7
PCA-Squared (5 components),rx_3,-42.1,-41.7,0.4
PCA-Squared (5 components),rx_4,-32.5,-32.2,0.3
PCA-Squared (5 components),rx_5,-22.6,-24.8,-2.2
PCA-Squared (5 components),rx_7,-16.4,-18.6,-2.2
PCA-Squared (5 components),rx_10,-5.5,-8.5,-3.0
PCA-Squared (5 components),EW,-22.4,-24.3,-1.9
PCA-Squared (3 components),rx_2,-46.8,-48.0,-1.2
PCA-Squared (3 components),rx_3,-38.8,-39.4,-0.6
PCA-Squared (3 components),rx_4,-30.6,-31.1,-0.5
PCA-Squared (3 components),rx_5,-21.0,-24.1,-3.1
PCA-Squared (3 components),rx_7,-17.0,-18.3,-1.3
PCA-Squared (3 components),rx_10,-8.9,-10.0,-1.1
PCA-Squared (3 components),EW,-22.5,-23.9,-1.4
Partial Least Squares (5 components),rx_2,-56.3,-51.8,4.5
Partial Least Squares (5 components),rx_3,-40.5,-36.8,3.7
Partial Least Squares (5 components),rx_4,-33.4,-29.1,4.3
Partial Least Squares (5 components),rx_5,-25.7,-22.9,2.8
Partial Least Squares (5 components),rx_7,-18.6,-14.3,4.3
Partial Least Squares (5 components),rx_10,-9.5,-3.0,6.5
Partial Least Squares (5 components),EW,-24.8,-19.8,5.0
Partial Least Squares (3 components),rx_2,-57.9,-52.0,5.9
Partial Least Squares (3 components),rx_3,-40.7,-38.5,2.2
Partial Least Squares (3 components),rx_4,-31.9,-31.3,0.6
Partial Least Squares (3 components),rx_5,-22.9,-24.6,-1.7
Partial Least Squares (3 components),rx_7,-14.6,-18.1,-3.5
Partial Least Squares (3 components),rx_10,-1.8,-6.4,-4.6
Partial Least Squares (3 components),EW,-20.2,-22.7,-2.5
Ridge,rx_2,-40.1,-11.4,28.7
Ridge,rx_3,-25.8,-8.6,17.2
Ridge,rx_4,-18.9,-7.8,11.1
Ridge,rx_5,-11.4,-3.5,7.9
Ridge,rx_7,-6.0,-1.3,4.7
Ridge,rx_10,4.6,2.3,-2.3
Ridge,EW,-9.9,-2.5,7.4
Lasso,rx_2,-11.5,-10.8,0.7
Lasso,rx_3,-8.1,-8.6,-0.5
Lasso,rx_4,-2.5,-5.1,-2.6
Lasso,rx_5,0.2,-0.1,-0.3
Lasso,rx_7,2.3,1.7,-0.6
Lasso,rx_10,9.3,6.1,-3.2
Lasso,EW,2.3,1.1,-1.2
Elastic Net,rx_2,-10.7,-11.3,-0.6
Elastic Net,rx_3,-8.4,-8.0,0.4
Elastic Net,rx_4,-5.1,-5.0,0.1
Elastic Net,rx_5,0.4,0.1,-0.3
Elastic Net,rx_7,0.3,2.1,1.8
Elastic Net,rx_10,7.0,6.2,-0.8
Elastic Net,EW,0.7,1.1,0.4
