model,r2_2,p_2,r2_3,p_3,r2_4,p_4,r2_5,p_5,r2_7,p_7,r2_10,p_10,r2_ew,p_ew
PCA (10 components),-0.9065769967700426,0.5478990470089287,-0.7171250903279227,0.6298661446359227,-0.6095892921430817,0.5303206514600876,-0.5300395744274815,0.49138665155229444,-0.4179329111324317,0.35747366969714933,-0.26288871581022755,0.17316917748697525,-0.4909980067445927,0.4343313498299073
PCA (5 components),-0.7474511092139495,0.48906875190611065,-0.5884333331358937,0.5200347616553528,-0.5003833140745124,0.3747266317388982,-0.4128629500137193,0.2886237397678182,-0.3516475117189366,0.1620764936525505,-0.20623062858195107,0.05160210158090517,-0.40302387660721806,0.2146682087835846
PCA (3 components),-0.31765078700753646,0.38948804612743404,-0.24040989144542246,0.3624401278953844,-0.18677632246986198,0.2160297339167394,-0.12223601554196195,0.12577209309431303,-0.08147345477353718,0.05522066057688091,-0.0013675431574140529,0.013918913321853466,-0.11235618030256922,0.0745834772336399
PCA-Squared (5 components),-0.99129653906216,0.8315386769170352,-0.8437690769475208,0.6805448950351459,-0.7076253563940937,0.4232263623611249,-0.600237114076873,0.27170363553446863,-0.5050782343266831,0.14885156105746966,-0.36330635860474136,0.07455488129028898,-0.5886648739773606,0.20617419506575985
PCA-Squared (3 components),-0.851835192294395,0.7818851093624656,-0.7375550393723338,0.5569200807973311,-0.6201974059882587,0.338036176639011,-0.532562330057103,0.21114986607376707,-0.46977158355318815,0.11954771096106831,-0.389893302684706,0.05944258539831271,-0.5478641942801168,0.15358406842867234
Partial Least Squares (5 components),-0.8546688787228347,0.5099692908563009,-0.6767189804335945,0.5905204269928052,-0.5772132282416784,0.47252376906846183,-0.49004990619970856,0.40443641608984904,-0.3727481351943378,0.2561152244145124,-0.23120149469536555,0.10399226063514733,-0.452062024260641,0.3338056969546752
Partial Least Squares (3 components),-0.783469543189222,0.48823473142910734,-0.6252640565442955,0.5340931203038535,-0.5382972405422968,0.39660789614150005,-0.4596243973562104,0.32298851579071375,-0.37128014888677363,0.1859284868963249,-0.22072554265692457,0.066054778278822,-0.4299537838682872,0.24675412002397
Ridge,-0.20425545815368884,0.7842252303798158,-0.24997790236254236,0.8835536414694027,-0.25634858234845015,0.8201360924676171,-0.2428174596056003,0.8073259068889139,-0.25566532765362937,0.817897771681123,-0.19618863220001215,0.5937264385147061,-0.24042320237235093,0.795280028432358
Lasso,-0.21941699616645738,0.9460733771425617,-0.24076088161481035,0.9183295649433467,-0.2481538929469005,0.8872116123818845,-0.20165529804466065,0.7472044168999115,-0.2210677998620021,0.7711054472426322,-0.15038201705736287,0.3992192204725311,-0.20088839287153348,0.7463034232930562
Elastic Net,-0.2226008668590458,0.9488299411253006,-0.24869366378081792,0.9178078063968866,-0.24370461681009825,0.8742984614092045,-0.1978541169078969,0.7399677936433272,-0.2109718113081689,0.7350485614950104,-0.14707451165878838,0.407252345884071,-0.1978084201829391,0.7363826139224323
