model,r2_2,p_2,r2_3,p_3,r2_4,p_4,r2_5,p_5,r2_7,p_7,r2_10,p_10,r2_ew,p_ew
PCA - first 8 PCs,-0.1108130500133584,0.005242536516515184,-0.053448704508539,0.004966780653050118,-0.03795267876244757,0.00377511011167575,-0.025260158898063212,0.0032818222964861032,-0.01702741653675033,0.0026122662510178474,-0.015141407723662237,0.0014890226707694465,-0.032438718356850194,0.002437073587884475
PCA as in Ludvigson and Ng (2009),0.03642102076013032,0.002547642966535313,0.06562721740481992,0.0027086145994211774,0.08273516240564793,0.0022901313413805635,0.08588658028722129,0.002505156462811242,0.05543098972398075,0.00340135830469801,0.020597521739074254,0.003555816778745946,0.058099890103907925,0.002696519567761513
PLS - 8 components,-0.5043816556714209,0.000861324153546672,-0.2728044944783101,0.00034186085220921925,-0.21403982883615114,0.0002545614230016202,-0.4149762106911399,0.00023428260778590726,-0.3744041772346016,0.00022580543764894045,-0.4896316448441185,0.0003490488581088247,-0.34273958028083995,0.00020860744550110777
Ridge (using CP factor),0.13544900374662572,0.006535199907596101,0.15682553137928357,0.0029282345337771076,0.17158823951136148,0.0020863623568720957,0.17296033526163157,0.002470430868718343,0.18628749405765843,0.0008439640847711649,0.23763410769888393,0.0002533935635734563,0.21152581882754706,0.0008952099392006696
Lasso (using CP factor),0.05861264904633623,0.0074410184041192595,0.07046193700925885,0.0036568287881242334,0.11470230981573148,0.004666282284056855,0.14782230549357123,0.003829412280299538,0.18372475384527553,0.0022488646624519992,0.24176986411160273,0.0011420570317804968,0.1945558794088056,0.002327317973153664
Elastic Net (using CP factor),0.05823141353450767,0.007123200906408056,0.07232110199756125,0.003516066317421962,0.11325073234314009,0.004639305240038194,0.14670123074852204,0.004013569486225332,0.1863001759701418,0.002212953278065477,0.2444664877968894,0.0010928055913862478,0.19552063808181497,0.0022664379058019435
Ridge (using fwd rates directly),0.10491782402570227,0.003610981941154723,0.10448081788312558,0.0036515469557495406,0.13239454669622386,0.0025273322638951212,0.15363458389068785,0.002065125373615917,0.21527015048336706,0.0012317088488746908,0.2385089805855367,0.0006481435502795341,0.20577148479215912,0.0012048159239702594
Lasso (using fwd rates directly),0.12129363606557153,0.007225785514284322,0.10651797528611395,0.0015040886421507915,0.09335709402521775,0.002247219789802579,0.13822985079502503,0.002611568615951465,0.1629822445064929,0.0025626610646865,0.16064654706639758,0.0016414515431658616,0.16220166245589185,0.0016896501960166344
Elastic Net (using fwd rates directly),0.13133831565109222,0.0073819184100362145,0.11195237380441814,0.0016259555875949294,0.09106027476250644,0.0022832867463795647,0.1342603306200978,0.0025651439366622952,0.16775236016403627,0.0028062459878595014,0.1662369477079566,0.001308830655225246,0.16569130156648726,0.001544500486877487
