model,xr_2,p_2,xr_3,p_3,xr_4,p_4,xr_5,p_5,xr_7,p_7,xr_10,p_10,xr_ew,p_ew
PCA (10 components),-90.7%,,-71.7%,,-61.0%,,-53.0%,,-41.8%,,-26.3%,,-49.1%,
PCA (5 components),-74.7%,,-58.8%,,-50.0%,,-41.3%,,-35.2%,,-20.6%,,-40.3%,
PCA (3 components),-31.8%,,-24.0%,,-18.7%,,-12.2%,,-8.1%,,-0.1%,,-11.2%,
PCA-Squared (5 components),-99.1%,,-84.4%,,-70.8%,,-60.0%,,-50.5%,,-36.3%,,-58.9%,
PCA-Squared (3 components),-85.2%,,-73.8%,,-62.0%,,-53.3%,,-47.0%,,-39.0%,,-54.8%,
Partial Least Squares (5 components),-85.5%,,-67.7%,,-57.7%,,-49.0%,,-37.3%,,-23.1%,,-45.2%,
Partial Least Squares (3 components),-78.3%,,-62.5%,,-53.8%,,-46.0%,,-37.1%,,-22.1%,,-43.0%,
Ridge,-20.4%,,-25.0%,,-25.6%,,-24.3%,,-25.6%,,-19.6%,,-24.0%,
Lasso,-21.9%,,-24.1%,,-24.8%,,-20.2%,,-22.1%,,-15.0%,,-20.1%,
Elastic Net,-22.3%,,-24.9%,,-24.4%,,-19.8%,,-21.1%,,-14.7%,,-19.8%,
