date,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10
1971-08,0.0517003464787937,0.057613300641229694,0.06132956221922331,0.060374938694157304,0.06534615780275346,0.06816991389658317,0.06534926872597313,0.06464305779579421,0.0654213069782058,0.06659174029148529
1971-09,0.0518815203330096,0.0568627970725824,0.060512728665463214,0.061612150251257186,0.06545002559399066,0.06286674170013351,0.058284263646946444,0.05595876083298579,0.05513095905849241,0.055340052784515814
1971-10,0.0456552644341238,0.052740609459122796,0.057340230947421314,0.062160437599939306,0.06422158133567532,0.06333671669246949,0.05856580500439057,0.05648553938333656,0.05623580343720219,0.05732478237888872
1971-11,0.0465240783877525,0.0537437884361617,0.058370934375785194,0.06111624645303179,0.06435736237648482,0.067708729153166,0.061605630675246825,0.0570764956156552,0.05553677167744431,0.05627494662890675
1971-12,0.042474377546544796,0.052793034853551,0.056234407462654,0.05807630835623101,0.061196221545723184,0.06634278254851184,0.06461429239596728,0.062150520426802525,0.06166393070471593,0.0627099286110595
1972-01,0.0408987093023999,0.0547844439433665,0.06186029767753359,0.06368598616105203,0.06373095126559644,0.0652831207868445,0.06485632625135263,0.06401559392204881,0.06391407789303566,0.06466417848600581
1972-02,0.0418678210590787,0.0527819263984097,0.061214230712819076,0.06296216106008812,0.0629532616916704,0.06421588078351198,0.06462018468940411,0.06405194037360029,0.06360466135017578,0.06258539220352888
1972-03,0.04880915012903771,0.06105532447041229,0.06281978087306099,0.06281400673660342,0.06313933104863662,0.06323760167974218,0.06220078766793091,0.06085930363126707,0.059992236769155605,0.0592330400679032
1972-04,0.0443459729250335,0.05669462992134811,0.06360399464661398,0.061844017393490824,0.061268355389495044,0.06423151895269252,0.06586442243177598,0.06555134151209163,0.06563996840810477,0.06542825744703662
1972-05,0.044960387832014705,0.053835450860550894,0.06216712043209678,0.06116551661064565,0.06376021505976848,0.06338453938101091,0.06434025009179489,0.0651417142228713,0.06577028079531538,0.06558464321616297
1972-06,0.0504071499704067,0.0580789506409279,0.0620146792359518,0.06206081888173359,0.0635596075980665,0.0623413022301999,0.06188803490267958,0.06093182701706362,0.05994729626078088,0.058548999012803526
1972-07,0.0471700149236806,0.056934395785376804,0.06519660917995809,0.0634695804593437,0.06282690546257882,0.06296161229903358,0.06399485296163698,0.06449799953906982,0.06469345298188334,0.0642384531384933
