date,rx_2,rx_3,rx_4,rx_5,rx_6,rx_7,rx_8,rx_9,rx_10
1971-08,0.004993305958297792,0.0068444214970439995,0.0025435945532827145,0.002746552872025361,0.006362421773742889,0.006867409500696066,0.005575296370426953,0.006353379572712127,0.008678117868210745
1971-09,0.001986258258583805,0.0021003258041878067,0.0012761779930213005,0.003472360725817865,0.0029533124124119584,-0.0044378379014469935,-0.01601946637688225,-0.029670013151569995,-0.04399488540586723
1971-10,-0.0008348349175638092,-0.004617661165479091,-0.005624643525060681,-0.005972757445331274,-0.005510704530245748,-0.010948576851874038,-0.019619434776165602,-0.028840396363372857,-0.03762543580965292
1971-11,0.000973461304597599,0.00012828056059969312,-0.00237990518213322,-0.0010666590728516737,0.004935000768996466,0.0043751058717343624,-0.0020842639528089527,-0.011051352539710547,-0.020410333977559515
1971-12,-0.002246763500318799,-0.007708670672058597,-0.013269376675545515,-0.014673629806156809,-0.010848767118951476,-0.009747833022520892,-0.011418332627290896,-0.013424977936092077,-0.015426889744536411
1972-01,-0.0050575327894237035,-0.007437889562170508,-0.00859446846012589,-0.009478140914715869,-0.006935833665180954,-0.004227514493398352,-0.0028450920122717743,-0.0032060756041242117,-0.00462397126956636
1972-02,-0.009570082001077104,-0.016515691658665635,-0.020665478771483572,-0.025247147310092685,-0.02555055483210271,-0.025198770978240456,-0.025024411640092822,-0.022912335382246116,-0.020140020038102766
1972-03,-0.007323974290341512,-0.012307588891725105,-0.01502375767783011,-0.01828474999028308,-0.019459759900425547,-0.02274811669861178,-0.027357065852295928,-0.03044686014127014,-0.03235599900205939
1972-04,-0.009452448645437393,-0.012437900367590897,-0.017052168524343096,-0.021412630668604042,-0.021448039544823043,-0.022165330347356176,-0.0243210224022155,-0.023929798578979915,-0.022271235177554576
1972-05,-0.015591258430777709,-0.01941190800541113,-0.022257067277492472,-0.02358527358786181,-0.026127301431431806,-0.030875387944009826,-0.03688858978222934,-0.040713724870828895,-0.04331210319313892
1972-06,-0.0172496068659605,-0.019531546508985517,-0.024190895201779097,-0.02607521877308218,-0.02877721584898986,-0.03363674901959175,-0.04086799444239643,-0.0492668805638546,-0.058550102382601346
1972-07,-0.02839989339249109,-0.036995928172401285,-0.04813878223970282,-0.0609093727977678,-0.06959583060858802,-0.07309607186405263,-0.07360792126666076,-0.07409759964125888,-0.07459384248286575
1972-08,-0.02318541142861579,-0.028457819051134113,-0.02844750154961958,-0.03133579741005462,-0.03433387302941739,-0.03638200492253404,-0.04110608704493792,-0.04558292318497894,-0.045488189028450775
1972-09,-0.013787326365736582,-0.013057076171978876,-0.011962430885067321,-0.014085265549656417,-0.014088370988516702,-0.013498429644134363,-0.013416844668465183,-0.012266885231831975,-0.010440861462096912
1972-10,-0.010336221513893802,-0.009282081333800908,-0.010805021116428816,-0.014216995335204215,-0.01620466506880531,-0.016985814075981105,-0.016641890350537376,-0.014504751796448286,-0.011684622301957777
1972-11,-0.015594073885078302,-0.011176866198636004,-0.01257408941503263,-0.016370521305019037,-0.021524361676947157,-0.02632588715874662,-0.02645910049844513,-0.023481634509847582,-0.021074371517947943
1972-12,-0.010219099095735505,-0.009429957456830874,-0.011662307800383388,-0.015542035288206475,-0.018999410722097106,-0.021854467200072066,-0.023911685402855716,-0.025176488217905142,-0.02736965489052074
1973-01,-0.006098166638235293,-0.004473509159963383,-0.007255807924804257,-0.012934349500772956,-0.020400293405870094,-0.028130032162288064,-0.03257654577514071,-0.03441616455315829,-0.0364812603210379
1973-02,-0.0023228380586082925,-0.0005107673571757426,-0.0006704653629875518,-0.003976770472612037,-0.00880810519801746,-0.014289286751704058,-0.02074273891569385,-0.027929378144504538,-0.035008591495034616
1973-03,-0.013730727089714623,-0.02045121375319739,-0.02803214116456873,-0.03689661802597713,-0.04509410515657605,-0.05233834636272797,-0.05516850604928805,-0.05658636353564453,-0.057747249016299046
1973-04,-0.020838268045848915,-0.0314325062186627,-0.04405486048179899,-0.05757684555613998,-0.06911597687926038,-0.07638490148347751,-0.07886509098527397,-0.08060332037079423,-0.08223950801270644
1973-05,-0.0177148535781652,-0.030081104441581213,-0.04173954618341147,-0.05336332302028646,-0.06192813228491817,-0.06487695048454117,-0.06422398579921279,-0.062096063332109985,-0.05939357067989276
1973-06,-0.020281867115914384,-0.03259532079352341,-0.04779770043307292,-0.06336312352847208,-0.07571979572047878,-0.07996293234317405,-0.07903973399123677,-0.07594184137825412,-0.0731080461864111
1973-07,-0.011124205990106315,-0.0193547022483955,-0.026455395555022465,-0.035787336143537296,-0.048331693480665294,-0.05855406793061013,-0.06319941968413034,-0.06317590434321962,-0.058823292695825646
1973-08,-0.024914554612987597,-0.039944223394434,-0.05197580496945366,-0.06399270804684455,-0.08039564847941795,-0.09102743919135033,-0.09338858126762058,-0.09499659110021715,-0.0998856910215002
1973-09,-0.0186005730246621,-0.03458248732294089,-0.04690566761224907,-0.05954650513087928,-0.07094055477095512,-0.07961391226984282,-0.08644433726839984,-0.08994275049483591,-0.09039519266597906
1973-10,-0.015897011511148793,-0.024757618418034186,-0.037477882851435815,-0.04978697154733723,-0.061306735881779914,-0.0693001360646222,-0.06981104708023343,-0.06833262069996458,-0.06763664261023193
1973-11,-0.01568357925095039,-0.02077036777882009,-0.030134607372955743,-0.03721707900340242,-0.04477721943796585,-0.051337198460306974,-0.05719241773832044,-0.060146045926611366,-0.055379771934963615
1973-12,-0.007831503334107703,-0.015248538607670531,-0.020060935978925526,-0.023819517271752383,-0.027780087985054353,-0.029816235411644493,-0.03152738050839851,-0.029580892302172618,-0.020322218038253154
1974-01,0.0019584474300901045,-0.0016927697564113886,-0.0067708095796704115,-0.011952070730526565,-0.01844530233778302,-0.020937447277801224,-0.02145869986094906,-0.012586989937311166,0.0011383971695897999
1974-02,0.006716941070553206,0.008654291928752833,0.005305347822367412,0.0010145359545870036,-0.006559804518642687,-0.015278173530429928,-0.018535519816642643,-0.009806182333646163,0.005967011759251961
1974-03,0.010428340115892595,0.012623178380720912,0.010793073064170572,0.00747948933117043,0.0026266305622933417,-0.006191334840453533,-0.01577115210100072,-0.010692420975644767,-0.0006300673115522959
1974-04,0.010185442278154017,0.0069992597390950845,0.003299032844732111,0.0004619538203067125,-0.0036275221487237636,-0.009420606357231312,-0.014727642353501005,-0.005472236356360641,0.0069026311077993036
1974-05,0.016114656308544806,0.018230573512567474,0.01825612461232766,0.019842361086564383,0.015703691882187384,0.002684613065825611,-0.007594956779150855,-0.018397575508496036,-0.03132259560486113
1974-06,0.012226979242211292,0.01794912810858651,0.021305721021512514,0.02196573430574217,0.0183742720311193,0.007736961355010508,0.002134538760623139,-0.0063678145460513425,-0.017638445778225986
1974-07,0.011480401386903219,0.015096010061334195,0.014446997951814214,0.01682095530612744,0.017314169061009202,0.010547309479232617,0.004883307467826073,-0.0072815634918987765,-0.025206839193505512
1974-08,0.007152525428305481,0.007523789749238036,0.006700497323995053,0.008586791117022013,0.01321160187633244,0.006761038478604237,-0.004956922846611617,-0.011939678894537037,-0.022098714093307853
1974-09,0.0033060007469192243,-0.0024107517413475693,-0.006685419910111609,-0.011929005785669536,-0.011641740205579856,-0.01883936471072191,-0.030598150958407913,-0.04079925241697581,-0.053128577023819915
1974-10,0.01300723968231332,0.016191369027075603,0.01690280586006837,0.017269127689895747,0.009482515007970649,-0.010560520875485091,-0.028314422177181053,-0.04385404777322843,-0.060515601561325516
1974-11,0.004825733540054597,0.001569938674470528,-0.002790080587104976,-0.0036893705191685666,-0.014191649205464285,-0.030765264061113573,-0.04533984112479783,-0.06050493740401386,-0.0759177142928773
1974-12,0.011972961789785422,0.010728251261546001,0.004845532746743791,-0.0018056971155683554,-0.01267942826614507,-0.02478596961232757,-0.03624849244504921,-0.04792771409163318,-0.060417675305080215
1975-01,0.0159308212953804,0.018134288929541303,0.01411770901370743,0.013067889908547708,0.001234653061370966,-0.008999022724022393,-0.027959043103684217,-0.04064774448087935,-0.0521050539082307
1975-02,0.005618667398922805,0.003910089782413223,0.00024097862036628892,0.002845924121858273,-0.0003660768758881605,-0.00950916909341934,-0.028946380425313417,-0.04416799398972496,-0.059799205307640296
1975-03,0.012412609480138906,0.015077045860107177,0.01676336626868284,0.017326612953311213,0.01408808256231818,0.009569179739344333,-0.011636127097520502,-0.029975300682544406,-0.049748769611151725
1975-04,0.022146613819713903,0.0323689681643725,0.03967667117498562,0.04329769254433895,0.03670937242936238,0.029843963936018,0.007148325254442353,-0.014305733419825398,-0.03966444178773072
1975-05,0.008626434183575296,0.00866520811798431,0.007346113067479024,0.005750035689366204,0.011043139624020135,0.012053440902994136,0.0018613474697415783,0.0012791341061571398,0.00196727759440489
1975-06,0.011722308908259885,0.015014469678286194,0.017932348913083415,0.015382541843217537,0.014983129144382615,0.006942263812055885,-0.0016180592139958122,-0.002888550761620187,-0.003175197379701275
1975-07,0.018805274953327192,0.02797239389283282,0.031093573948048653,0.027485965162460574,0.023508769072071084,0.013005541898946621,0.006375871693580809,0.004711044981512008,0.004220637961117518
1975-08,0.020710411725067976,0.03104736942987278,0.04170192900854709,0.03959235018146924,0.03799144963829888,0.03951013758533052,0.036024106229489664,0.03162617780134276,0.027810993793777453
1975-09,0.026530539660630778,0.04170619469205561,0.053957585103097686,0.055349038780776086,0.059864775339957335,0.06566698590229088,0.06494428846773538,0.0666766577853949,0.07012393005422847
1975-10,0.021372653337572906,0.0338855611415243,0.04295623395514475,0.04952763796687926,0.059477105682624265,0.062213520035889036,0.06195788929683144,0.06656136867132995,0.07047166108614383
1975-11,0.0290140457516513,0.049532313819485016,0.06504084495661612,0.07931451198634269,0.09578129076221444,0.10016021637588703,0.10169930364079945,0.10271195410946167,0.1010810904998747
1975-12,0.024022012337331103,0.04280470993515818,0.056789374285815306,0.0678807609126512,0.07755234003961194,0.08224826797813252,0.08692435249586401,0.09256232215972655,0.09774716148736158
1976-01,0.015713512414885895,0.0284078390024902,0.03498631598145815,0.04201983006877565,0.046507777421218886,0.05122014895106854,0.052585151632738934,0.05153243418905764,0.046058779988848685
1976-02,0.018136723267794384,0.029583594246729912,0.03208388244220308,0.03392941830447401,0.03667028231124971,0.04011282354171632,0.04109039662262023,0.04097582787697875,0.03828214646493213
1976-03,0.018813127272874923,0.029034988081223866,0.03472006199836054,0.03555746722257056,0.03575405159031978,0.0366831748184863,0.035968395948786015,0.034723235207369786,0.03355622637832282
1976-04,0.016654438711482,0.024707669423956295,0.030035497850942845,0.032607913854118466,0.03615577258964279,0.03856674787693468,0.03853845407893445,0.0389455373538937,0.03925190505212726
1976-05,0.02047627718051198,0.03329946029688767,0.0445038149621198,0.0456519606053607,0.04674275776649156,0.05637045144437586,0.05895964121238079,0.059191684626362095,0.058850258826973534
1976-06,0.018090327661609812,0.03010416372522491,0.04269521059414094,0.0476850734571283,0.05419479948961575,0.060383593464655105,0.060194935202221744,0.0590329340284535,0.057717484986512135
1976-07,0.01177546157921218,0.01948170844233492,0.02855626957367953,0.034106416554654365,0.04166013152529037,0.044779278911399614,0.04498217924424387,0.04611975055560326,0.04838734678926994
1976-08,0.008501618344656604,0.013959565718727703,0.021151887484556632,0.028373055866501552,0.03455650274526909,0.040361961497557865,0.0432365630273349,0.04561098701652092,0.049694502589576674
1976-09,0.0026893007145235084,0.005201858005834899,0.010809053337930703,0.016628853568870568,0.02068742819787201,0.026108350296959577,0.0274538537963901,0.02926218468273207,0.032397879213729115
1976-10,-0.0025341048803810967,-0.006923782334675804,-0.006246832011015835,-0.00676654270035737,-0.003191418409315583,0.0017067313017400387,0.0027837813733642136,0.004625650310725038,0.008914916870891298
1976-11,-0.008620870676403998,-0.018933375977595403,-0.02407467781689971,-0.02948864140613234,-0.02671303631786793,-0.02514765295950217,-0.02361165082994466,-0.019753457399304793,-0.013470845145914574
1976-12,-0.01039939800235399,-0.01979747569795761,-0.02801397099887811,-0.03559946506906824,-0.04016790857451485,-0.0469398139604476,-0.05549233205764242,-0.06388527120568616,-0.07029962563103703
1977-01,-0.004420936902012423,-0.008218338608213069,-0.009198426599583295,-0.013811311796305806,-0.016712125860407392,-0.02548715266668279,-0.035236726821002276,-0.040525244093500515,-0.046840896114323696
1977-02,-0.005348546834915299,-0.010109699617195295,-0.010979453715000365,-0.013931458379446648,-0.017835293502817207,-0.026064192033259992,-0.038016122086270476,-0.04495983160488626,-0.050880116723616475
1977-03,-0.006983550972541594,-0.013756958750753626,-0.015689072135069163,-0.019200997063044276,-0.022199383894860522,-0.029390780071737663,-0.03977686757844988,-0.04785581678931859,-0.05530896550062468
1977-04,-0.007850605700279706,-0.01761013351617942,-0.019743595226205876,-0.0257804788736216,-0.02850930592130889,-0.035827216044738694,-0.04485718112461916,-0.0514200249059165,-0.05842660678431903
1977-05,-0.012601546269625598,-0.0254566018411772,-0.030971725896337392,-0.03850876214634407,-0.04659917307942967,-0.05582692631073554,-0.06517237951915472,-0.07412309521653732,-0.08465586992985757
1977-06,-0.01740084864750909,-0.03589829145034492,-0.0462650838888369,-0.05720525844107751,-0.06564168310254706,-0.07325049493411132,-0.08267040050194066,-0.09233858942833531,-0.0987078766018418
1977-07,-0.013846437228633095,-0.028216178972694704,-0.0362793141659895,-0.0439472923614948,-0.052204735298364495,-0.060027300285488354,-0.06998608411167545,-0.07967012100595677,-0.08603730097842671
1977-08,-0.015296168941244997,-0.027584598053961823,-0.036507123844863404,-0.04656833921616868,-0.05667115879357379,-0.06335149098323847,-0.06896418575773086,-0.07391617344029242,-0.07709539711007982
1977-09,-0.016929525847974497,-0.029704448238524597,-0.036820560814507394,-0.04541134685859065,-0.05569744542856141,-0.06492949977102373,-0.07430268794572618,-0.08409101043340954,-0.09106689186497445
1977-10,-0.021987445035541717,-0.03690891635596048,-0.04877664267186772,-0.06158435235016359,-0.06729680761814928,-0.0768484289226294,-0.0883784375843983,-0.10000224439704782,-0.10835626582332154
1977-11,-0.025358367806508797,-0.04179652639015313,-0.0479120060711396,-0.05536542748422324,-0.06348609810953232,-0.07421073467308847,-0.08427994275312733,-0.09326729307467585,-0.1000342368301812
1977-12,-0.029045322859834896,-0.04668744881287247,-0.054693265471649474,-0.06048446834598763,-0.06943705850726055,-0.07829750163113706,-0.08607852079688065,-0.09264415226650695,-0.09626790884106289
1978-01,-0.022371023240819216,-0.03543037460829032,-0.03674038186689732,-0.040326095144633256,-0.04730144750867843,-0.05553633673912811,-0.06256041970013254,-0.06882220343717654,-0.07281502971030868
1978-02,-0.022067967505531208,-0.03561026368227094,-0.037706294392490236,-0.04683246857707318,-0.05694800580419784,-0.06291802213864744,-0.07139397554026178,-0.0794218930528156,-0.08355463661029922
1978-03,-0.01842658092308118,-0.03185699393898868,-0.0337798165221115,-0.040359458998877454,-0.04850730391606713,-0.052887887031734096,-0.05751908934138829,-0.061723324490678425,-0.06852617252864325
1978-04,-0.018097850946461297,-0.03232801113410602,-0.03639093054922496,-0.04412560405963603,-0.04861421906553068,-0.0542659091724412,-0.06266975425502938,-0.06930693426384824,-0.079093737256801
1978-05,-0.013595284801460508,-0.022263585341612796,-0.02120916177287749,-0.023623950505952312,-0.025368299168124303,-0.027749084930788676,-0.03134475040819776,-0.0356019213637602,-0.04301710658680083
1978-06,-0.005326459875221096,-0.005624406481968977,-0.0038096177338790144,-0.004837711014152604,-0.003336911225316777,-0.0026889861277329535,-0.005762116642179307,-0.008473052314477716,-0.01015550719234172
1978-07,-0.010501876339166397,-0.013744628942085807,-0.015408561969214501,-0.017091702798300218,-0.017695379899049984,-0.021565288528191257,-0.027851724948568995,-0.03260284189924764,-0.03550518663748789
1978-08,-0.017666952888192783,-0.02676920852473641,-0.031138960652539766,-0.03490025026865881,-0.04108104848536645,-0.04864757321156407,-0.05685851918138371,-0.06460284447906603,-0.07030643856531013
1978-09,-0.022109264894569103,-0.03417868744493112,-0.03958335248589233,-0.041773725704558326,-0.04611466623110837,-0.05307134390970768,-0.059813520195561395,-0.06729715718607053,-0.07588595264774632
1978-10,-0.0352628632066706,-0.05677632560881818,-0.07340949045100942,-0.09207670311719224,-0.1041508574580361,-0.12027956610745072,-0.13562503329763687,-0.1497836986050599,-0.1636468180909093
1978-11,-0.023495420968001668,-0.0452638816499944,-0.05423471605429528,-0.06809985535668503,-0.08003419962012584,-0.09958906174433194,-0.11465917674815698,-0.12807746450692928,-0.14006620620326818
1978-12,-0.019678727939388213,-0.03615779580037201,-0.04643441630352918,-0.052675783644103524,-0.0616979687355359,-0.07903184118910328,-0.08955301690955314,-0.09952896449740961,-0.11178131225622073
1979-01,-0.027405002084293487,-0.05416818714577348,-0.07194073219559727,-0.09153641071162377,-0.11156634570197738,-0.1341710418252831,-0.15634966667752287,-0.17767717469666694,-0.19956668219749324
1979-02,-0.05176608162408759,-0.1050055467671716,-0.1323122144912372,-0.15992830841468697,-0.1812843705718492,-0.2024234925333217,-0.22309681015800853,-0.2527992591150462,-0.2832959152481509
1979-03,-0.05758689216042018,-0.10484900020414653,-0.12850158475851522,-0.14177254019390792,-0.1655560493965532,-0.1933861637305185,-0.21553429005324062,-0.2358904951677143,-0.25866938844078724
1979-04,-0.01185726742363269,-0.02575497544418473,-0.03839763691212489,-0.04659219998550623,-0.05552221697682408,-0.0754062927906935,-0.09584592232079453,-0.10897143392027281,-0.12332371643533874
1979-05,0.003931364451866176,-0.006848700842173053,-0.016541625803346324,-0.028755924135229302,-0.042122639024257766,-0.05752407252833362,-0.0735287881405821,-0.08728342644524083,-0.10277642967393534
1979-06,0.00038455443621399077,-0.011891207583266686,-0.023042488644217,-0.034254220663594306,-0.046602321160536156,-0.056001942498705784,-0.06691209599629529,-0.08310380604837249,-0.09838449767479736
1979-07,-0.003422123519230172,-0.019814050595791208,-0.035950195628670537,-0.05265958336862876,-0.06582828163839068,-0.0765933271409009,-0.09126605719156529,-0.11559129253218166,-0.14078039827183447
1979-08,-0.019673389872654212,-0.04687360323491119,-0.07210667909396917,-0.10018070155238956,-0.12795875096502568,-0.14678528737364843,-0.1598251455067064,-0.17199102834415286,-0.18545337988496385
1979-09,-0.02653187750125939,-0.054722635196271616,-0.08189396944605919,-0.10351818740286499,-0.12701765284560762,-0.14887339484060702,-0.16970654684935915,-0.18861233523244214,-0.20941294371002517
1979-10,-0.02051472560147799,-0.03791533521047899,-0.05730437173541095,-0.078315034958122,-0.08915577446117903,-0.10690447252749999,-0.12722231916000312,-0.14728036503209693,-0.1698495544005679
1979-11,-0.038930263126988995,-0.07222452985709304,-0.09562074994094805,-0.12142615673108548,-0.130537800016144,-0.14012537708217288,-0.15111595317786009,-0.16598089098781688,-0.18486141708467896
1979-12,-0.029021983966517034,-0.04947231761349502,-0.07512710804404099,-0.09862987285379154,-0.1074054287865509,-0.12428435749263111,-0.14574958626948176,-0.1619845763338863,-0.17409564205754402
1980-01,-0.028786092535556987,-0.045475277108205994,-0.058426387004140004,-0.06654529296324209,-0.07492093318391892,-0.08921134636014207,-0.105367175355369,-0.11970923731770002,-0.13169050568642104
